variable,cropClass,ratoon_no,treatCode,value,stderr
fertN_kg_ha,Plant,0,T1,194,NA
fertN_kg_ha,Plant,0,T2,134,NA
fertN_kg_ha,Plant,0,T3,94,NA
fertN_kg_ha,Plant,0,T4,94,NA
fertN_kg_ha,Plant,0,T5,67,NA
fertN_kg_ha,Ratoon1,1,T1,190,NA
fertN_kg_ha,Ratoon1,1,T2,158,NA
fertN_kg_ha,Ratoon1,1,T3,112,NA
fertN_kg_ha,Ratoon1,1,T4,110,NA
fertN_kg_ha,Ratoon1,1,T5,0,NA
stemN_kg_ha,Plant,0,T1,103,15.9
stemN_kg_ha,Plant,0,T2,86,10.5
stemN_kg_ha,Plant,0,T3,58,8
stemN_kg_ha,Plant,0,T4,60,6.1
stemN_kg_ha,Plant,0,T5,54,7.7
stemN_kg_ha,Ratoon1,1,T1,54,16.4
stemN_kg_ha,Ratoon1,1,T2,37,4.2
stemN_kg_ha,Ratoon1,1,T3,26,6
stemN_kg_ha,Ratoon1,1,T4,24,5.8
stemN_kg_ha,Ratoon1,1,T5,16,15.4
topsN_kg_ha,Plant,0,T1,41,2.2
topsN_kg_ha,Plant,0,T2,38,7.3
topsN_kg_ha,Plant,0,T3,31,6.3
topsN_kg_ha,Plant,0,T4,27,3.8
topsN_kg_ha,Plant,0,T5,36,5.4
topsN_kg_ha,Ratoon1,1,T1,29,1.5
topsN_kg_ha,Ratoon1,1,T2,25,1
topsN_kg_ha,Ratoon1,1,T3,21,0.6
topsN_kg_ha,Ratoon1,1,T4,19,1.1
topsN_kg_ha,Ratoon1,1,T5,26,1.5
biomassN_kg_ha,Plant,0,T1,144,NA
biomassN_kg_ha,Plant,0,T2,125,NA
biomassN_kg_ha,Plant,0,T3,89,NA
biomassN_kg_ha,Plant,0,T4,87,NA
biomassN_kg_ha,Plant,0,T5,90,NA
biomassN_kg_ha,Ratoon1,1,T1,83,NA
biomassN_kg_ha,Ratoon1,1,T2,62,NA
biomassN_kg_ha,Ratoon1,1,T3,46,NA
biomassN_kg_ha,Ratoon1,1,T4,44,NA
biomassN_kg_ha,Ratoon1,1,T5,42,NA
yield_t_ha,Plant,0,T1,113,NA
yield_t_ha,Plant,0,T2,101,NA
yield_t_ha,Plant,0,T3,88,NA
yield_t_ha,Plant,0,T4,85,NA
yield_t_ha,Plant,0,T5,84,NA
yield_t_ha,Ratoon1,1,T1,73,NA
yield_t_ha,Ratoon1,1,T2,70,NA
yield_t_ha,Ratoon1,1,T3,60,NA
yield_t_ha,Ratoon1,1,T4,52,NA
yield_t_ha,Ratoon1,1,T5,45,NA
